name,symbol,slug,first_historical_data,last_historical_data,history_has_been_saved
Bitcoin,BTC,bitcoin,2013-04-28T18:47:21.000Z,2020-12-02T13:24:41.000Z,0
Litecoin,LTC,litecoin,2013-04-28T18:47:22.000Z,2020-12-02T13:24:03.000Z,0
Namecoin,NMC,namecoin,2013-04-28T18:47:22.000Z,2020-12-02T13:24:02.000Z,0
Terracoin,TRC,terracoin,2013-04-28T18:47:22.000Z,2020-12-02T13:24:02.000Z,0
Peercoin,PPC,peercoin,2013-04-28T18:47:23.000Z,2020-12-02T13:24:02.000Z,0
Novacoin,NVC,novacoin,2013-04-28T18:47:23.000Z,2020-12-02T13:24:02.000Z,0
Feathercoin,FTC,feathercoin,2013-05-03T03:25:15.000Z,2020-12-02T13:24:02.000Z,0
Freicoin,FRC,freicoin,2013-05-03T03:25:15.000Z,2020-12-02T13:24:02.000Z,0
Ixcoin,IXC,ixcoin,2013-05-08T05:20:18.000Z,2020-12-02T13:24:02.000Z,0
BitBar,BTB,bitbar,2013-05-09T16:10:18.000Z,2020-12-02T13:24:02.000Z,0
Digitalcoin,DGC,digitalcoin,2013-06-09T17:55:21.000Z,2020-12-02T13:24:02.000Z,0
Goldcoin,GLC,goldcoin,2013-06-14T06:45:28.000Z,2020-12-02T13:24:02.000Z,0
Phoenixcoin,PXC,phoenixcoin,2013-07-04T05:15:49.000Z,2020-12-02T13:24:02.000Z,0
Megacoin,MEC,megacoin,2013-07-07T13:56:51.000Z,2020-12-02T13:24:02.000Z,0
Infinitecoin,IFC,infinitecoin,2013-07-10T13:27:02.000Z,2020-12-02T13:24:02.000Z,0
Primecoin,XPM,primecoin,2013-07-11T03:21:19.000Z,2020-12-02T13:24:02.000Z,0
Anoncoin,ANC,anoncoin,2013-07-15T01:31:35.000Z,2020-12-02T13:24:02.000Z,0
CasinoCoin,CSC,casinocoin,2013-07-25T03:06:28.000Z,2020-12-02T13:24:02.000Z,0
Emerald Crypto,EMD,emerald,2013-08-04T18:51:31.000Z,2020-12-02T13:24:02.000Z,0
XRP,XRP,xrp,2013-08-04T18:51:05.000Z,2020-12-02T13:24:03.000Z,0
Quark,QRK,quark,2013-08-25T17:46:22.000Z,2020-12-02T13:24:03.000Z,0
Zetacoin,ZET,zetacoin,2013-09-11T01:47:21.000Z,2020-12-02T13:24:02.000Z,0
Sexcoin,SXC,sexcoin,2013-12-09T01:17:12.000Z,2020-12-02T13:24:03.000Z,0
TagCoin,TAG,tagcoin,2013-11-05T13:32:08.000Z,2020-12-02T13:24:02.000Z,0
FLO,FLO,flo,2013-11-27T06:01:46.000Z,2020-12-02T13:24:03.000Z,0
Nxt,NXT,nxt,2013-12-04T05:46:40.000Z,2020-12-02T13:24:03.000Z,0
Unobtanium,UNO,unobtanium,2013-12-21T18:17:35.000Z,2020-12-02T13:24:02.000Z,0
Datacoin,DTC,datacoin,2013-12-07T19:47:06.000Z,2020-12-02T13:24:03.000Z,0
Deutsche eMark,DEM,deutsche-emark,2013-12-15T01:52:15.000Z,2020-12-02T13:24:03.000Z,0
Dogecoin,DOGE,dogecoin,2013-12-15T14:42:34.000Z,2020-12-02T13:24:03.000Z,0
Diamond,DMD,diamond,2013-12-19T12:31:59.000Z,2020-12-02T13:24:03.000Z,0
HoboNickels,HBN,hobonickels,2013-12-20T13:32:39.000Z,2020-12-02T13:24:03.000Z,0
Orbitcoin,ORB,orbitcoin,2013-12-21T18:12:54.000Z,2020-12-02T13:24:03.000Z,0
Omni,OMNI,omni,2013-12-24T23:37:41.000Z,2020-12-02T13:24:03.000Z,0
FedoraCoin,TIPS,fedoracoin,2013-12-31T16:17:26.000Z,2020-12-02T13:24:03.000Z,0
Mooncoin,MOON,mooncoin,2014-01-06T06:47:31.000Z,2020-12-02T13:24:03.000Z,0
Dimecoin,DIME,dimecoin,2014-01-06T07:42:29.000Z,2020-12-02T13:24:03.000Z,0
42-coin,42,42-coin,2014-01-14T04:32:01.000Z,2020-12-02T13:24:03.000Z,0
Vertcoin,VTC,vertcoin,2014-01-20T05:27:57.000Z,2020-12-02T13:24:03.000Z,0
DigiByte,DGB,digibyte,2014-02-06T13:13:38.000Z,2020-12-02T13:24:03.000Z,0
SmartCoin,SMC,smartcoin,2014-02-06T13:13:41.000Z,2020-12-02T13:24:03.000Z,0
ReddCoin,RDD,redd,2014-02-10T00:58:17.000Z,2020-12-02T13:24:03.000Z,0
PotCoin,POT,potcoin,2014-02-10T04:23:33.000Z,2020-12-02T13:24:03.000Z,0
Blakecoin,BLC,blakecoin,2014-02-12T06:50:14.000Z,2020-12-02T13:24:03.000Z,0
Maxcoin,MAX,maxcoin,2014-02-12T13:33:59.000Z,2020-12-02T13:24:03.000Z,0
Dash,DASH,dash,2014-02-14T13:44:09.000Z,2020-12-02T13:24:03.000Z,0
Counterparty,XCP,counterparty,2014-02-15T13:59:36.000Z,2020-12-02T13:24:03.000Z,0
MintCoin,MINT,mintcoin,2014-02-19T13:39:53.000Z,2020-12-02T13:24:03.000Z,0
DopeCoin,DOPE,dopecoin,2014-02-22T17:52:34.000Z,2020-12-02T13:24:03.000Z,0
Auroracoin,AUR,auroracoin,2014-02-27T05:33:27.000Z,2020-12-02T13:24:03.000Z,0
Pesetacoin,PTC,pesetacoin,2014-02-22T17:52:40.000Z,2020-12-02T13:24:03.000Z,0
Pandacoin,PND,pandacoin-pnd,2014-02-27T05:33:33.000Z,2020-12-02T13:24:03.000Z,0
Uniform Fiscal Object,UFO,uniform-fiscal-object,2014-02-27T05:33:35.000Z,2020-12-02T13:24:03.000Z,0
BlackCoin,BLK,blackcoin,2014-02-28T05:13:44.000Z,2020-12-02T13:24:03.000Z,0
Photon,PHO,photon,2014-05-23T11:20:40.000Z,2020-12-02T13:24:03.000Z,0
Myriad,XMY,myriad,2014-03-08T15:56:28.000Z,2020-12-02T13:24:03.000Z,0
DNotes,NOTE,dnotes,2014-03-08T15:56:28.000Z,2020-12-02T13:24:03.000Z,0
Einsteinium,EMC2,einsteinium,2014-04-09T04:10:24.000Z,2020-12-02T13:24:03.000Z,0
ECC,ECC,eccoin,2014-03-20T05:09:55.000Z,2020-12-02T13:24:03.000Z,0
MonaCoin,MONA,monacoin,2014-03-20T05:09:55.000Z,2020-12-02T13:24:03.000Z,0
Rubycoin,RBY,rubycoin,2014-03-20T05:09:56.000Z,2020-12-02T13:24:04.000Z,0
Bela,BELA,belacoin,2014-03-20T05:10:07.000Z,2020-12-02T13:24:03.000Z,0
SolarCoin,SLR,solarcoin,2014-03-29T15:35:11.000Z,2020-12-02T13:24:03.000Z,0
e-Gulden,EFL,e-gulden,2014-03-26T12:44:50.000Z,2020-12-02T13:24:03.000Z,0
Gulden,NLG,gulden,2014-04-08T04:11:00.000Z,2020-12-02T13:24:04.000Z,0
Groestlcoin,GRS,groestlcoin,2014-04-11T20:45:53.000Z,2020-12-02T13:24:03.000Z,0
PetroDollar,XPD,petrodollar,2014-04-15T04:36:55.000Z,2020-12-02T13:24:03.000Z,0
PLNcoin,PLNC,plncoin,2014-04-15T04:36:58.000Z,2020-12-02T13:24:04.000Z,0
WhiteCoin,XWC,whitecoin,2014-04-18T12:12:07.000Z,2020-12-02T13:24:04.000Z,0
PopularCoin,POP,popularcoin,2014-04-23T12:01:13.000Z,2020-12-02T13:24:04.000Z,0
Bitstar,BITS,bitstar,2014-04-23T12:01:13.000Z,2020-12-02T13:24:04.000Z,0
Quebecoin,QBC,quebecoin,2014-04-23T12:01:15.000Z,2020-12-02T13:24:04.000Z,0
BlueCoin,BLU,bluecoin,2014-04-28T03:21:26.000Z,2020-12-02T13:24:04.000Z,0
MaidSafeCoin,MAID,maidsafecoin,2014-04-28T03:21:26.000Z,2020-12-02T13:24:04.000Z,0
Bitcoin Plus,XBC,bitcoin-plus,2014-05-04T01:31:45.000Z,2020-12-02T13:24:03.000Z,0
NewYorkCoin,NYC,newyorkcoin,2014-05-06T12:17:49.000Z,2020-12-02T13:24:04.000Z,0
Pinkcoin,PINK,pinkcoin,2014-05-11T17:08:10.000Z,2020-12-02T13:24:04.000Z,0
